x,y,z,target,target_name
-49.73,16.91,-5.61,0.0,pitch
-49.64,16.0,-9.08,0.0,pitch
-49.64,16.0,-9.08,0.0,pitch
-49.64,16.0,-9.08,0.0,pitch
-49.36,14.82,-12.24,0.0,pitch
-49.36,14.82,-12.24,0.0,pitch
-49.36,14.82,-12.24,0.0,pitch
-49.09,13.91,-14.69,0.0,pitch
-49.09,13.91,-14.69,0.0,pitch
-49.09,13.91,-14.69,0.0,pitch
-48.91,13.36,-15.41,0.0,pitch
-48.91,13.36,-15.41,0.0,pitch
-48.91,13.36,-15.41,0.0,pitch
-49.0,13.09,-15.41,0.0,pitch
-49.0,13.09,-15.41,0.0,pitch
-49.18,13.09,-15.1,0.0,pitch
-49.18,13.09,-15.1,0.0,pitch
-49.18,13.09,-15.1,0.0,pitch
-49.55,13.36,-13.16,0.0,pitch
-49.55,13.36,-13.16,0.0,pitch
-49.55,13.36,-13.16,0.0,pitch
-50.36,13.82,-8.16,0.0,pitch
-50.36,13.82,-8.16,0.0,pitch
-50.36,13.82,-8.16,0.0,pitch
-50.73,14.0,-1.22,0.0,pitch
-50.73,14.0,-1.22,0.0,pitch
-50.73,14.0,-1.22,0.0,pitch
-49.73,14.0,5.61,0.0,pitch
-49.73,14.0,5.61,0.0,pitch
-49.73,14.0,5.61,0.0,pitch
-47.82,14.0,12.35,0.0,pitch
-47.82,14.0,12.35,0.0,pitch
-47.82,14.0,12.35,0.0,pitch
-44.91,13.45,18.78,0.0,pitch
-44.91,13.45,18.78,0.0,pitch
-44.91,13.45,18.78,0.0,pitch
-41.64,12.27,23.67,0.0,pitch
-41.64,12.27,23.67,0.0,pitch
-41.64,12.27,23.67,0.0,pitch
-38.55,10.91,27.86,0.0,pitch
-38.55,10.91,27.86,0.0,pitch
-38.55,10.91,27.86,0.0,pitch
-34.82,9.91,31.43,0.0,pitch
-34.82,9.91,31.43,0.0,pitch
-34.82,9.91,31.43,0.0,pitch
-30.18,9.18,34.9,0.0,pitch
-30.18,9.18,34.9,0.0,pitch
-30.18,9.18,34.9,0.0,pitch
-24.27,9.64,38.27,0.0,pitch
-24.27,9.64,38.27,0.0,pitch
-24.27,9.64,38.27,0.0,pitch
